S No.,Gender,Category,Price,Brand ,Product,Reviews
60,Male,T-shirt,849,Levi's,Solid Men Polo Neck Red T-Shirt,Superb quality no color fade
61,Male,T-shirt,849,Levi's,Solid Men Polo Neck Green T-Shirt,Awesome product
62,Male,T-shirt,849,Levi's,Solid Men Polo Neck Green T-Shirt,Bad quality. Looking too old
63,Male,T-shirt,849,Levi's,Solid Men Polo Neck Green T-Shirt,Very bad quality material.
64,Male,T-shirt,849,Levi's,Solid Men Polo Neck Green T-Shirt,Very good
65,Male,T-shirt,849,Levi's,Solid Men Polo Neck Green T-Shirt,Bad
66,Male,T-shirt,849,Levi's,Solid Men Polo Neck Green T-Shirt,I gifted to my brother he liked the most thank you flipkart
67,Male,T-shirt,849,Levi's,Solid Men Polo Neck Green T-Shirt,This is not good and not good quality😔😔
68,Male,T-shirt,849,Levi's,Solid Men Polo Neck Green T-Shirt,Quality super
69,Male,T-shirt,849,Levi's,Solid Men Polo Neck Green T-Shirt,Ok not as expected
70,Male,T-shirt,849,Levi's,Solid Men Polo Neck Green T-Shirt,Very bad quality
71,Male,T-shirt,1049,Levi's,Printed Men Polo Neck White T-Shirt,Good quality for the price.
72,Male,T-shirt,1049,Levi's,Printed Men Polo Neck White T-Shirt,Nice
73,Male,T-shirt,1049,Levi's,Printed Men Polo Neck White T-Shirt,Awesome
74,Male,T-shirt,1049,Levi's,Printed Men Polo Neck White T-Shirt,Good product👍👍
75,Male,T-shirt,1049,Levi's,Printed Men Polo Neck White T-Shirt,Fantastic quality very impressive. Thank you flipkart 😍
76,Male,T-shirt,1049,Levi's,Printed Men Polo Neck White T-Shirt,Good Product
77,Male,T-shirt,1049,Levi's,Printed Men Polo Neck White T-Shirt,Good product
78,Male,T-shirt,1049,Levi's,Printed Men Polo Neck White T-Shirt,Loved it
79,Male,T-shirt,1049,Levi's,Printed Men Polo Neck White T-Shirt,Nice fabric
80,Male,T-shirt,1049,Levi's,Printed Men Polo Neck White T-Shirt,Loved the fit
81,Male,T-shirt,1367,Levi's,Striped Men Polo Neck Dark Blue T-Shirt,Very fast delivery and very nice product 👌👍
82,Male,T-shirt,1367,Levi's,Striped Men Polo Neck Dark Blue T-Shirt,Good product
83,Male,T-shirt,1367,Levi's,Striped Men Polo Neck Dark Blue T-Shirt,Too thick material....not for summer i guess.
84,Male,T-shirt,1367,Levi's,Striped Men Polo Neck Dark Blue T-Shirt,product is good but size chart & actual size is diffrent
85,Male,T-shirt,1367,Levi's,Striped Men Polo Neck Dark Blue T-Shirt,Excellent product.
86,Male,T-shirt,1367,Levi's,Striped Men Polo Neck Dark Blue T-Shirt,perfect fit... awesome levies... thanks
87,Male,T-shirt,1367,Levi's,Striped Men Polo Neck Dark Blue T-Shirt,very good product fitting and quality 💪
88,Male,T-shirt,1367,Levi's,Striped Men Polo Neck Dark Blue T-Shirt,Nice
89,Male,T-shirt,1367,Levi's,Striped Men Polo Neck Dark Blue T-Shirt,Perfect fit
90,Male,T-shirt,1367,Levi's,Striped Men Polo Neck Dark Blue T-Shirt,Good choice to gift someone 
91,Male,T-shirt,1583,Levi's,Solid Men Polo Neck Blue T-Shirt,Good material
92,Male,T-shirt,1583,Levi's,Solid Men Polo Neck Blue T-Shirt,No good quality
93,Male,T-shirt,1583,Levi's,Solid Men Polo Neck Blue T-Shirt,Good
94,Male,T-shirt,1583,Levi's,Solid Men Polo Neck Blue T-Shirt,worst
95,Male,T-shirt,1583,Levi's,Solid Men Polo Neck Blue T-Shirt,Good
96,Male,T-shirt,1583,Levi's,Solid Men Polo Neck Blue T-Shirt,"Not so good as per price, very bad"
97,Male,T-shirt,1583,Levi's,Solid Men Polo Neck Blue T-Shirt,Comfortable but not worth the money
98,Male,T-shirt,1583,Levi's,Solid Men Polo Neck Blue T-Shirt,perfect fit
99,Male,T-shirt,1583,Levi's,Solid Men Polo Neck Blue T-Shirt,didn't liked it
100,Male,T-shirt,1583,Levi's,Solid Men Polo Neck Blue T-Shirt,color too dark
101,Male,T-shirt,1253,Levi's,Printed Men Polo Neck Reversible Green T-Shirt,Very nice product
102,Male,T-shirt,1253,Levi's,Printed Men Polo Neck Reversible Green T-Shirt,Very good
103,Male,T-shirt,1253,Levi's,Printed Men Polo Neck Reversible Green T-Shirt,Colour is just fade
104,Male,T-shirt,1253,Levi's,Printed Men Polo Neck Reversible Green T-Shirt,Vry nice
105,Male,T-shirt,1253,Levi's,Printed Men Polo Neck Reversible Green T-Shirt,Super
106,Male,T-shirt,1253,Levi's,Printed Men Polo Neck Reversible Green T-Shirt,Good one my father loved it.
107,Male,T-shirt,1253,Levi's,Printed Men Polo Neck Reversible Green T-Shirt,Good product
108,Male,T-shirt,1253,Levi's,Printed Men Polo Neck Reversible Green T-Shirt,Very good
109,Male,T-shirt,1253,Levi's,Printed Men Polo Neck Reversible Green T-Shirt,Good feel
110,Male,T-shirt,1253,Levi's,Printed Men Polo Neck Reversible Green T-Shirt,my brother liked it very much
111,Male,T-shirt,1319,Levi's,Striped Men Polo Neck White T-Shirt,Very nice
112,Male,T-shirt,1319,Levi's,Striped Men Polo Neck White T-Shirt,Nice one
113,Male,T-shirt,1319,Levi's,Striped Men Polo Neck White T-Shirt,Satisfactory product n delivery boy 👦is very nice worthy product
